Policy ID,Policy Name,Policy Type,Risk Factor,Coverage Type,Interest Rate (%),Premium Amount ($),Coverage Amount ($),Duration (Years),Insurer Name,Policy Description
POL-001,Home Insurance - Up,Health Insurance,High,Standard,2.4,956.74,457933.79,30,"Lane, Walker and Jimenez",Network example finish individual offer two.
POL-002,Travel Insurance - Describe,Travel Insurance,Medium,Basic,2.11,217.32,351848.78,14,"Anderson, Jennings and Sanders",Court glass event truth charge once audience tell audience gun help feel.
POL-003,Auto Insurance - Though,Health Insurance,Medium,Comprehensive,3.03,261.36,83396.66,2,"Norton, Gonzalez and Williams",Each reduce school also head community nothing because development.
POL-004,Home Insurance - Of,Auto Insurance,High,Comprehensive,3.43,304.22,127328.7,4,"Clark, Patton and Smith",Expect relationship sometimes then day growth.
POL-005,Travel Insurance - Involve,Health Insurance,Medium,Comprehensive,4.7,866.2,154536.73,20,Flores-Aguirre,Wife participant avoid cell seat ahead pressure month four woman.
POL-006,Home Insurance - Action,Health Insurance,High,Basic,1.29,219.81,425761.21,19,"Lopez, Walker and Wilson",Somebody front take team blue program back soldier instead card natural.
POL-007,Auto Insurance - Agree,Home Insurance,High,Standard,2.34,645.8,325047.58,19,Woods Group,Case possible save card southern war law.
POL-008,Health Insurance - Artist,Home Insurance,Medium,Basic,4.51,360.88,351357.18,16,Paul-Frazier,Test outside fish five Congress guy life walk like factor on.
POL-009,Health Insurance - Lead,Life Insurance,Low,Standard,3.03,342.76,10519.54,18,Lam-Stephenson,Last somebody culture up accept political peace increase office mouth interest boy conference.
POL-010,Home Insurance - Wall,Life Insurance,Low,Basic,1.3,472.76,323133.11,7,Davis-Mcclain,Until strategy send third TV network.
POL-011,Health Insurance - Garden,Auto Insurance,Low,Comprehensive,4.75,257.19,62749.83,20,"Mendez, Miller and Johnson",Suggest determine law performance newspaper thousand news thousand process of stand you single.
POL-012,Life Insurance - Child,Home Insurance,High,Basic,3.02,114.47,71829.87,9,Scott PLC,News sport safe step itself indeed natural more best who nice.
POL-013,Home Insurance - Here,Home Insurance,Medium,Basic,4.63,615.97,203069.4,22,Yang and Sons,Material our check go pick should easy brother TV attorney.
POL-014,Health Insurance - Some,Home Insurance,Medium,Comprehensive,2.82,633.46,166740.3,15,Manning-Sullivan,Its material debate class push vote same data letter rule star.
POL-015,Auto Insurance - On,Home Insurance,High,Basic,3.5,891.38,152831.6,15,Harrell-Brown,Already whatever sort thousand sing company sort evening kid five.
POL-016,Auto Insurance - With,Auto Insurance,High,Basic,4.51,758.83,345953.92,27,Brooks and Sons,Up care hundred toward which season glass.
POL-017,Life Insurance - Even,Auto Insurance,Low,Standard,3.09,479.69,126900.55,25,Friedman LLC,Purpose kid quickly send only common worker he film into kitchen mention attention.
POL-018,Travel Insurance - Guy,Health Insurance,Medium,Basic,3.76,909.96,286140.1,14,Oneill PLC,Answer keep ask who purpose sell table southern.
POL-019,Home Insurance - Reality,Travel Insurance,Medium,Basic,1.3,942.23,159460.4,15,"Cruz, Patel and Ramos",Speech point amount world account prove everything really.
POL-020,Life Insurance - Century,Auto Insurance,Medium,Standard,2.01,978.46,98864.48,22,Schaefer and Sons,Attack seem owner throughout gas fund common sea game author when cell method.
POL-021,Auto Insurance - Time,Auto Insurance,Low,Standard,2.06,843.99,463817.41,16,Chandler-Ortiz,Health here art book leg represent management thus act various high.
POL-022,Travel Insurance - Old,Health Insurance,Medium,Basic,3.61,452.84,17057.55,7,Robertson-Fuller,Window drive seven benefit performance or.
POL-023,Auto Insurance - My,Travel Insurance,Low,Comprehensive,4.31,894.83,31410.36,30,Clark Inc,General current network campaign culture could apply capital budget help late.
POL-024,Life Insurance - Discuss,Travel Insurance,High,Comprehensive,2.56,408.2,476293.68,3,Rodriguez-Hamilton,Rather significant partner cost reveal look last serve newspaper.
POL-025,Health Insurance - Game,Health Insurance,Low,Comprehensive,3.76,602.16,418325.02,25,Bishop PLC,Various office development like continue buy agree safe his west ask above.
POL-026,Life Insurance - Wait,Auto Insurance,Medium,Basic,4.5,826.5,477859.74,29,Turner-Garcia,Least power low exactly discuss provide significant.
POL-027,Travel Insurance - Simply,Travel Insurance,Medium,Standard,3.38,634.64,471480.76,22,Mercado-Smith,Once heavy rich just no size pretty court general Congress.
POL-028,Life Insurance - Not,Auto Insurance,Low,Basic,1.52,690.49,329025.85,9,"Wolf, Perez and Lam",Throughout quite already ago something time put network try buy pick hand either.
POL-029,Travel Insurance - Last,Home Insurance,Medium,Comprehensive,1.29,691.01,394466.41,21,Washington and Sons,Read realize follow mother pull future wish board unit price forward difference.
POL-030,Health Insurance - Every,Life Insurance,Low,Standard,3.9,276.56,156942.95,7,James Group,Buy message or low American former whom meeting.
POL-031,Auto Insurance - Executive,Life Insurance,High,Standard,2.5,245.64,40245.38,21,Ellis-Ortiz,Study event energy man floor civil off focus.
POL-032,Travel Insurance - Wall,Life Insurance,High,Comprehensive,1.3,423.16,298582.58,7,"Gomez, Larsen and Clark",Cultural hundred crime deep threat perform art.
POL-033,Home Insurance - Instead,Life Insurance,Low,Basic,3.09,399.85,474390.84,21,Cherry PLC,Enjoy he score building meeting state.
POL-034,Travel Insurance - Factor,Life Insurance,High,Comprehensive,1.61,371.66,294688.21,25,"Drake, Caldwell and Hays",During mother small describe she difficult health herself hour Congress.
POL-035,Auto Insurance - Personal,Travel Insurance,Low,Comprehensive,3.95,354.06,337104.04,1,Ellis and Sons,Tax stop together tough seat fine positive data play during issue method.
POL-036,Health Insurance - No,Auto Insurance,Medium,Standard,3.01,207.7,151663.59,5,"Booth, Scott and Stevens",Else better trial hospital hotel force challenge discussion history push environmental science pressure.
POL-037,Travel Insurance - Area,Auto Insurance,High,Standard,1.29,772.76,136192.9,16,"Long, Herrera and Nunez",Certain town himself college somebody site situation both.
POL-038,Life Insurance - Woman,Health Insurance,Medium,Standard,4.75,786.73,195426.01,24,Le-Simon,Figure age approach author amount recognize when not dream ten available game.
POL-039,Auto Insurance - Property,Auto Insurance,Low,Basic,3.76,530.74,234942.7,19,Lewis-Rodriguez,Radio have expect those detail total.
POL-040,Health Insurance - History,Home Insurance,Medium,Standard,3.09,337.08,114883.73,27,Ellis-Green,Main beautiful new nearly church you my need far.
POL-041,Health Insurance - Sell,Home Insurance,Medium,Standard,1.29,221.38,274297.22,26,"Mullins, Butler and Snyder",American environmental information bar against response successful.
POL-042,Auto Insurance - Leave,Life Insurance,Low,Standard,3.02,356.0,292783.73,10,"Medina, Mccarthy and Brown",Answer direction available resource usually line.
POL-043,Auto Insurance - Those,Travel Insurance,High,Basic,3.97,559.75,28851.53,12,"Ramirez, Jordan and Myers",Character finally require example start know.
POL-044,Auto Insurance - There,Home Insurance,High,Comprehensive,4.91,839.5,239166.99,17,Graham Ltd,Charge reflect admit magazine quality bag threat in show general deal.
POL-045,Health Insurance - Great,Home Insurance,Low,Basic,2.4,900.12,265388.1,13,Sawyer-Ward,Enjoy policy wall cold list painting different page record report area walk.
POL-046,Auto Insurance - Religious,Auto Insurance,Low,Comprehensive,3.61,505.5,117381.27,27,Mcconnell-Hill,Speech cultural leave player perform draw despite.
POL-047,Life Insurance - Decade,Travel Insurance,Medium,Basic,2.87,448.65,150777.82,27,Garcia LLC,Consumer box him big support policy down detail.
POL-048,Life Insurance - Catch,Home Insurance,Low,Standard,2.4,658.97,239560.05,4,Robles-Graham,Nature but me time security thought wonder view away sing dream.
POL-049,Home Insurance - Young,Auto Insurance,Medium,Standard,3.5,952.91,414434.71,23,Reeves-Knight,Late inside me civil factor treat service.
POL-050,Home Insurance - Shake,Auto Insurance,Low,Basic,2.41,171.51,238182.03,7,Tran-Daniels,Full sister true break available speech run great.
POL-051,Home Insurance - Guy,Life Insurance,Low,Comprehensive,2.34,501.32,302000.94,14,"Palmer, Watson and Riggs",Parent action behavior drive require energy growth card happy standard.
POL-052,Travel Insurance - Team,Auto Insurance,Low,Basic,3.76,891.8,330065.99,26,Mcbride-Crawford,Successful daughter challenge message later partner sister hour.
POL-053,Life Insurance - Pull,Health Insurance,Low,Standard,3.72,448.69,236730.18,14,Barrett Ltd,Because strong wide but couple reduce speak pass room.
POL-054,Health Insurance - Until,Auto Insurance,Low,Basic,2.83,237.67,386006.0,13,Hall-Moore,Radio watch lay think century include future.
POL-055,Home Insurance - Seven,Life Insurance,Low,Comprehensive,3.72,104.21,309130.32,1,"Watts, Lewis and Chung",Choose white billion energy store when debate available perhaps wish.
POL-056,Life Insurance - Fish,Life Insurance,Medium,Standard,4.7,297.24,114366.29,27,Jones Group,Art ok TV loss behind once white plant product friend it.
POL-057,Home Insurance - Community,Home Insurance,Medium,Comprehensive,4.7,810.39,408858.15,19,Martinez Inc,Social father name against second world media relate yourself job painting.
POL-058,Life Insurance - Avoid,Auto Insurance,High,Comprehensive,2.34,867.56,267645.88,8,"Myers, Petty and Velazquez",Lead social win address identify friend concern tonight dream cost notice.
POL-059,Life Insurance - Picture,Auto Insurance,Medium,Comprehensive,2.87,531.89,10460.63,5,Perez-Washington,Book value onto east order phone car heart.
POL-060,Travel Insurance - See,Travel Insurance,High,Standard,2.34,881.57,209440.23,13,Bradley Inc,Consider task spring despite story north head security can.
POL-061,Health Insurance - Business,Life Insurance,Medium,Comprehensive,4.68,834.74,308663.97,8,Armstrong-Stone,Trouble material address none try hospital off represent serious coach report rest.
POL-062,Home Insurance - Picture,Health Insurance,Low,Standard,1.52,880.94,203831.97,10,Foster LLC,Seven vote work power despite still professional evidence.
POL-063,Home Insurance - Republican,Travel Insurance,High,Comprehensive,3.76,179.99,328208.56,20,Skinner-Parker,Staff us professional short including past expert easy glass bar customer suffer relationship.
POL-064,Health Insurance - Where,Travel Insurance,High,Standard,1.44,921.55,298526.74,25,Schroeder and Sons,With leg policy scene the so none.
POL-065,Health Insurance - Effort,Home Insurance,Low,Comprehensive,4.91,610.49,128895.71,4,"Clark, Ruiz and Schwartz",Half short position court even material rate example especially.
POL-066,Travel Insurance - True,Health Insurance,Low,Standard,2.06,240.67,401804.7,1,"Wright, Coleman and Owens",Marriage economy attention society science reality public article sort this catch upon several.
POL-067,Health Insurance - Man,Life Insurance,High,Basic,4.41,398.84,171455.49,22,"Ortiz, Choi and Acosta",Move item add TV hair green care.
POL-068,Life Insurance - Size,Life Insurance,Low,Comprehensive,1.3,406.06,175292.41,8,Price Group,Really tax research treat under yet source act cover.
POL-069,Travel Insurance - Expect,Health Insurance,Medium,Standard,2.56,662.74,309030.56,14,Williams-Walls,Southern space fund particular too mother town social professional increase say.
POL-070,Home Insurance - Study,Home Insurance,Low,Standard,4.86,918.16,327566.71,19,Herring Group,End draw whatever success house stay difference under light guess.
POL-071,Life Insurance - Nation,Life Insurance,Low,Basic,1.82,167.98,260063.18,23,"Marks, Turner and Page",Take however themselves experience suffer rule group.
POL-072,Home Insurance - Ability,Travel Insurance,Low,Comprehensive,3.46,612.4,108492.42,9,"Perez, Roth and Hall",Area kid degree street write certainly city.
POL-073,Home Insurance - Example,Travel Insurance,High,Standard,3.61,360.9,470792.28,14,Grant-Dorsey,Some upon subject physical clear good clearly benefit heavy nation future.
POL-074,Auto Insurance - Issue,Travel Insurance,Medium,Basic,2.41,920.09,16742.79,19,"Rodriguez, George and Lambert",Population laugh return similar risk possible image we purpose former nearly including.
POL-075,Health Insurance - Room,Auto Insurance,Low,Basic,2.34,704.73,71507.35,16,"Nash, Hernandez and Wood",Else increase born economic firm operation bar why kid court.
POL-076,Travel Insurance - Improve,Auto Insurance,Low,Standard,1.82,366.32,331460.47,17,Moore LLC,Might service not art recent sea product anyone quality woman thing available another.
POL-077,Health Insurance - Upon,Health Insurance,Low,Basic,3.38,702.16,24607.22,27,"Berry, Newman and Briggs",Range set eye great thousand no build detail.
POL-078,Auto Insurance - Pass,Auto Insurance,Medium,Basic,3.2,147.14,150532.12,12,"Johnson, Carr and King",Peace investment become worker truth agency bag tax bed over here.
POL-079,Life Insurance - Effort,Auto Insurance,High,Basic,2.82,551.73,25981.58,13,"Day, Wood and Mccullough",Home social such listen direction quality herself understand ready give page industry.
POL-080,Travel Insurance - Only,Health Insurance,Medium,Standard,2.34,498.57,355034.51,6,Brooks-Jones,Tree around hold box fear no.
POL-081,Auto Insurance - Star,Auto Insurance,Medium,Basic,4.48,136.8,341861.46,9,Valenzuela-Baker,Off a professional factor financial entire cost song across interest hope identify particular.
POL-082,Home Insurance - Cost,Life Insurance,High,Standard,1.95,960.9,481540.86,8,Robinson-Castaneda,Now field benefit lead letter information.
POL-083,Auto Insurance - Everybody,Health Insurance,Medium,Basic,4.22,522.37,354135.65,11,Parker-Oliver,Ten stock fund involve seem girl note manager receive at each help.
POL-084,Auto Insurance - Voice,Travel Insurance,High,Comprehensive,3.52,496.65,320250.95,23,Cooper-Bell,Media say key southern white world by.
POL-085,Life Insurance - Skin,Home Insurance,Medium,Comprehensive,2.54,406.93,154147.35,11,Nelson PLC,Phone everything respond pressure land easy system ready region relationship place research art.
POL-086,Travel Insurance - Of,Life Insurance,Medium,Basic,1.3,769.94,313798.55,23,Fields and Sons,Pass fund that rather ago nation clear the public speech body direction good.
POL-087,Health Insurance - Still,Home Insurance,High,Basic,3.46,527.91,368964.2,6,Hopkins Inc,South factor eat article arrive vote friend same rock.
POL-088,Auto Insurance - Avoid,Travel Insurance,Medium,Basic,2.34,969.45,243893.76,12,Brown and Sons,Animal response mother just style one seat key cell recent possible well.
POL-089,Travel Insurance - Consumer,Home Insurance,Medium,Basic,1.38,772.21,165778.97,21,Davidson LLC,Only medical positive myself wish player.
POL-090,Life Insurance - Fear,Travel Insurance,Low,Comprehensive,1.95,724.2,275365.99,30,"Macdonald, Davidson and Patterson",Picture well great here husband manager score under weight simple remember agree.
POL-091,Travel Insurance - Well,Home Insurance,Medium,Standard,1.11,725.28,166920.3,29,Huber-Mckenzie,Nature similar second work response his new check sport oil.
POL-092,Health Insurance - Improve,Health Insurance,Medium,Standard,1.83,337.72,163999.51,19,Macdonald-Cummings,Ever yet down threat administration story amount hand official child.
POL-093,Auto Insurance - Better,Travel Insurance,High,Comprehensive,1.04,462.08,74488.68,2,"Berry, Cox and Fischer",Subject think check effect appear avoid fill trouble describe factor.
POL-094,Health Insurance - Goal,Travel Insurance,Medium,Basic,4.91,784.64,31286.14,12,Meyer-Brown,Three together employee risk yet discover.
POL-095,Auto Insurance - Authority,Travel Insurance,High,Standard,2.39,624.37,269444.99,24,Chavez PLC,Develop father list rest another season television everyone clearly newspaper play.
POL-096,Health Insurance - Together,Life Insurance,Medium,Basic,1.47,425.35,417398.64,22,"Cole, Scott and Allen",Environment describe PM region religious push nor edge sign piece reach face.
POL-097,Life Insurance - Call,Home Insurance,Low,Standard,3.72,741.09,364662.54,10,Rasmussen-Noble,Must current notice computer cost who direction final thousand.
POL-098,Life Insurance - Begin,Travel Insurance,High,Standard,3.76,659.45,109275.02,10,Williams LLC,Cold process will conference early leave however message seven later well nothing old.
POL-099,Health Insurance - Bill,Life Insurance,Medium,Comprehensive,2.34,561.57,404584.8,25,Brown PLC,Local arm itself back single really eat suffer impact.
POL-100,Home Insurance - Involve,Home Insurance,Medium,Comprehensive,3.43,903.45,119779.64,19,Jackson-Nguyen,Firm maintain court might store evidence fire anyone outside situation.
